soc_id,titulo,dominio,nivel,fuente_log,mitre_id,tipo,implementacion,fichero_sigma,estado
SOC-AD-001,Kerberoasting - solicitud masiva de tickets de servicio con RC4,ad_lateral,high,windows/security,T1558.003,deteccion,wazuh+splunk,sigma/ad_lateral/soc_ad_001_kerberoasting.yml,experimental
SOC-AD-002,AS-REP Roasting - peticion sin preautenticacion Kerberos,ad_lateral,high,windows/security,T1558.004,deteccion,wazuh+splunk,sigma/ad_lateral/soc_ad_002_asrep_roasting.yml,experimental
SOC-AD-003,DCSync - replicacion de directorio desde un equipo que no es DC,ad_lateral,critical,windows/security,T1003.006,deteccion,wazuh+splunk,sigma/ad_lateral/soc_ad_003_dcsync.yml,experimental
SOC-AD-004,Indicio de Golden Ticket - TGS de krbtgt con cifrado degradado,ad_lateral,critical,windows/security,T1558.001,deteccion,wazuh+splunk,sigma/ad_lateral/soc_ad_004_golden_ticket.yml,experimental
SOC-AD-005,Herramienta de abuso de Kerberos ejecutada,ad_lateral,critical,windows/process_creation,T1003|T1558,deteccion,wazuh+splunk,sigma/ad_lateral/soc_ad_005_herramientas_kerberos.yml,experimental
SOC-AD-006,Pass-the-Hash y Overpass-the-Hash,ad_lateral,high,windows/security,T1550.002,deteccion,wazuh+splunk,sigma/ad_lateral/soc_ad_006_pass_the_hash.yml,experimental
SOC-AD-007,Enumeracion de Active Directory - BloodHound y comandos de reconocimiento,ad_lateral,medium,windows/process_creation,T1069.002|T1087.002,deteccion,wazuh+splunk,sigma/ad_lateral/soc_ad_007_enumeracion_dominio.yml,experimental
SOC-AD-008,Ejecucion remota tipo PsExec,ad_lateral,high,windows/system,T1569.002,deteccion,wazuh+splunk,sigma/ad_lateral/soc_ad_008_psexec_remoto.yml,experimental
SOC-AD-009,Ejecucion remota por WMI o WinRM,ad_lateral,high,windows/process_creation,T1021.006|T1047,deteccion,wazuh+splunk,sigma/ad_lateral/soc_ad_009_wmi_winrm_remoto.yml,experimental
SOC-AD-010,Modificacion sospechosa de directiva de grupo,ad_lateral,high,windows/process_creation,T1484.001,deteccion,wazuh+splunk,sigma/ad_lateral/soc_ad_010_abuso_gpo.yml,experimental
SOC-AD-011,Cuenta de equipo creada por un usuario no administrador,ad_lateral,medium,windows/security,T1136.002,deteccion,wazuh+splunk,sigma/ad_lateral/soc_ad_011_cuenta_equipo_creada.yml,experimental
SOC-AD-012,Abuso de servicios de certificados de Active Directory,ad_lateral,critical,windows/process_creation,T1649,deteccion,wazuh+splunk,sigma/ad_lateral/soc_ad_012_abuso_adcs.yml,experimental
SOC-CLD-001,Consentimiento concedido a una aplicacion no verificada,cloud_identity,high,azure/auditlogs,T1550.001,deteccion,wazuh+splunk,sigma/cloud_identity/soc_cld_001_consentimiento_oauth.yml,stable
SOC-CLD-002,Metodo MFA registrado tras un inicio de sesion de riesgo,cloud_identity,medium,azure/auditlogs,T1098.005,deteccion,wazuh+splunk,sigma/cloud_identity/soc_cld_002_metodo_mfa_registrado.yml,stable
SOC-CLD-003,Password spraying contra Entra ID,cloud_identity,high,,T1110.003,correlacion,solo-splunk,sigma/cloud_identity/soc_cld_003_password_spraying.yml,stable
SOC-CLD-004,Reutilizacion de sesion desde redes distintas,cloud_identity,high,,T1539,correlacion,solo-splunk,sigma/cloud_identity/soc_cld_004_token_robado.yml,experimental
SOC-CLD-005,Alta en un rol privilegiado de Entra ID,cloud_identity,high,azure/auditlogs,T1098.003,deteccion,wazuh+splunk,sigma/cloud_identity/soc_cld_005_rol_privilegiado.yml,stable
SOC-CLD-006,Politica de acceso condicional modificada o deshabilitada,cloud_identity,high,azure/auditlogs,T1556.009,deteccion,wazuh+splunk,sigma/cloud_identity/soc_cld_006_acceso_condicional.yml,stable
SOC-CLD-007,Credencial anadida a una aplicacion o service principal,cloud_identity,high,azure/auditlogs,T1098.001,deteccion,wazuh+splunk,sigma/cloud_identity/soc_cld_007_credencial_service_principal.yml,stable
SOC-CLD-008,Inicio de sesion desde una red de anonimizacion,cloud_identity,high,azure/signinlogs,T1090.003,deteccion,wazuh+splunk,sigma/cloud_identity/soc_cld_008_origen_anonimizado.yml,experimental
SOC-CLD-009,Dispositivo no conforme accediendo a un recurso corporativo,cloud_identity,medium,azure/signinlogs,T1078.004,deteccion,solo-splunk,sigma/cloud_identity/soc_cld_009_dispositivo_no_conforme.yml,experimental
SOC-CLD-010,Subida de datos a un servicio SaaS no aprobado,cloud_identity,medium,netskope/alerts,T1567.002,deteccion,wazuh+splunk,sigma/cloud_identity/soc_cld_010_saas_no_aprobado.yml,experimental
SOC-MAIL-001,Correo desde un dominio recien registrado,email_phishing,medium,proofpoint/tap,T1566.002,deteccion,solo-splunk,sigma/email_phishing/soc_mail_001_dominio_reciente.yml,experimental
SOC-MAIL-002,Suplantacion de directivo en el nombre para mostrar,email_phishing,high,proofpoint/tap,T1534,deteccion,wazuh+splunk,sigma/email_phishing/soc_mail_002_suplantacion_directivo.yml,experimental
