regla,dominio,titulo,severidad,mitre,nist_800_53,iso_27001_2022,justificacion
soc_cld_001_consentimiento_oauth,cloud,Consentimiento concedido a una aplicacion no verificada,high,T1550,"AC-3,IA-2",A.8.5,T1550: uso de material de autenticacion alternativo
soc_cld_002_metodo_mfa_registrado,cloud,Metodo MFA registrado tras un inicio de sesion de riesgo,medium,T1098,"AC-2,AC-6","A.5.16,A.5.18",T1098: manipulacion de cuenta
soc_cld_003_password_spraying,cloud,Fallo de autenticacion en Entra ID por credencial invalida,informational,T1110,"AC-7,IA-2",A.8.5,T1110: intentos fallidos de autenticacion
soc_cld_004_token_robado,cloud,Inicio de sesion correcto en Entra ID,informational,T1539,"IA-2,SC-23",A.8.5,T1539: robo de sesion
soc_cld_005_rol_privilegiado,cloud,Alta en un rol privilegiado de Entra ID,high,T1098,"AC-2,AC-6","A.5.16,A.5.18",T1098: manipulacion de cuenta
soc_cld_006_acceso_condicional,cloud,Politica de acceso condicional modificada o deshabilitada,high,T1556,"AC-2,IA-2",A.8.5,T1556: modificacion del proceso de autenticacion
soc_cld_007_credencial_service_principal,cloud,Credencial anadida a una aplicacion o service principal,high,T1098,"AC-2,AC-6","A.5.16,A.5.18",T1098: manipulacion de cuenta
soc_cld_008_origen_anonimizado,cloud,Inicio de sesion desde una red de anonimizacion,high,T1090,SC-7,"A.8.20,A.8.22",T1090: proxy de conexion
soc_cld_009_dispositivo_no_conforme,cloud,Dispositivo no conforme accediendo a un recurso corporativo,medium,T1078,"AC-2,AC-6","A.5.15,A.8.2",T1078: uso de cuenta valida
soc_cld_010_saas_no_aprobado,cloud,Subida de datos a un servicio SaaS no aprobado,medium,T1567,"AC-4,SC-7","A.8.12,A.8.23",T1567: exfiltracion por servicio web
cont_escape_a_namespaces_host,contenedores,Escape de contenedor hacia los namespaces del host,critical,T1611,"AC-6,SC-39",A.8.2,T1611: escape del contenedor
cont_socket_runtime_accedido,contenedores,Acceso al socket del runtime de contenedores,critical,"T1610,T1611","AC-6,CM-7,SC-39","A.8.2,A.8.9",T1610: despliegue de contenedor | T1611: escape del contenedor
k8s_capacidades_peligrosas,contenedores,Contenedor con capacidades de kernel peligrosas,high,T1611,"AC-6,SC-39",A.8.2,T1611: escape del contenedor
k8s_escalada_por_rolebinding,contenedores,Enlace a un rol con privilegios de administrador del cluster,high,T1078,"AC-2,AC-6","A.5.15,A.8.2",T1078: uso de cuenta valida
k8s_exec_en_pod,contenedores,Ejecucion interactiva dentro de un pod,medium,T1609,"AC-6,AU-12",A.8.2,T1609: comando en el administrador de contenedores
k8s_lectura_masiva_secretos,contenedores,Lectura de secretos de Kubernetes,medium,T1552,"IA-5,SC-28",A.5.17,T1552: credenciales en fichero o configuracion
k8s_montaje_hostpath,contenedores,Pod que monta una ruta sensible del nodo,critical,T1611,"AC-6,SC-39",A.8.2,T1611: escape del contenedor
k8s_pod_privilegiado,contenedores,Creacion de pod privilegiado,high,"T1610,T1611","AC-6,CM-7,SC-39","A.8.2,A.8.9",T1610: despliegue de contenedor | T1611: escape del contenedor
soc_mail_001_dominio_reciente,correo,Correo desde un dominio recien registrado,medium,T1566,"AT-2,SI-8","A.6.3,A.8.23",T1566: phishing
soc_mail_002_suplantacion_directivo,correo,Suplantacion de directivo en el nombre para mostrar,high,T1534,SI-8,A.6.3,T1534: suplantacion interna
soc_mail_003_fallo_dmarc,correo,Fallo de autenticacion de correo en el dominio propio,high,T1566,"AT-2,SI-8","A.6.3,A.8.23",T1566: phishing
soc_mail_004_adjunto_sospechoso,correo,Adjunto con formato usado para entrega de malware,high,T1566,"AT-2,SI-8","A.6.3,A.8.23",T1566: phishing
soc_mail_005_url_pulsada,correo,Usuario pulsa una URL de phishing bloqueada o permitida,high,T1566,"AT-2,SI-8","A.6.3,A.8.23",T1566: phishing
soc_mail_006_regla_buzon_externa,correo,Regla de buzon con reenvio externo creada,high,"T1114,T1564","AC-3,AU-9","A.8.12,A.8.15,A.8.3",T1114: recoleccion de correo | T1564: ocultacion de artefactos
soc_mail_007_envio_masivo_interno,correo,Correo entregado desde una cuenta interna,informational,T1534,SI-8,A.6.3,T1534: suplantacion interna
soc_mail_008_html_smuggling,correo,HTML smuggling en adjunto,high,T1027,SI-3,A.8.7,T1027: ofuscacion
exf_001_archivado_previo_exfiltracion,exfiltracion,Archivado masivo previo a la exfiltracion,medium,"T1074,T1560",AC-4,A.8.12,T1074: preparacion de datos para la salida | T1560: archivado de datos recogidos
exf_002_subida_nube_personal,exfiltracion,Subida a almacenamiento personal en la nube,high,T1567,"AC-4,SC-7","A.8.12,A.8.23",T1567: exfiltracion por servicio web
exf_003_copia_masiva_extraible,exfiltracion,Copia masiva de documentos a unidad extraible,medium,"T1005,T1052","AC-19,AC-3,MP-7","A.7.10,A.8.12,A.8.3",T1005: recoleccion de datos del sistema local | T1052: exfiltracion por medio fisico
exf_004_protocolo_alternativo,exfiltracion,Exfiltracion por protocolo alternativo,high,T1048,"AC-4,SC-7",A.8.12,T1048: exfiltracion por protocolo alternativo
exf_005_reenvio_correo_personal,exfiltracion,Reenvio automatico de correo a dominio personal,critical,"T1020,T1114","AC-3,AC-4","A.8.12,A.8.3",T1020: exfiltracion automatizada | T1114: recoleccion de correo
exf_006_repositorio_publico_codigo,exfiltracion,Subida de codigo o secretos a repositorio publico,high,T1567,"AC-4,SC-7","A.8.12,A.8.23",T1567: exfiltracion por servicio web
exf_007_volcado_base_datos,exfiltracion,Volcado de base de datos a ruta de usuario,high,"T1005,T1074","AC-3,AC-4","A.8.12,A.8.3",T1005: recoleccion de datos del sistema local | T1074: preparacion de datos para la salida
exf_008_impresion_captura_masiva,exfiltracion,Impresion o captura masiva de documentos,medium,"T1052,T1113","AC-19,AC-3,MP-7","A.7.10,A.8.12,A.8.3",T1052: exfiltracion por medio fisico | T1113: captura de pantalla
lin_base64_decode_exec,linux,Ejecucion de payload codificado en base64,high,"T1059,T1140","CM-7,SI-3",A.8.7,T1059: interprete de comandos | T1140: desofuscacion de carga util
lin_chmod_tmp_exec,linux,Permisos de ejecucion en /tmp o /dev/shm,medium,T1222,AC-3,A.8.3,T1222: modificacion de permisos
lin_cron_persistence,linux,Persistencia por cron,medium,T1053,"CM-5,CM-7",A.8.9,T1053: tarea programada
lin_disable_history,linux,Deshabilitar historial de shell (anti-forense),medium,T1070,"AU-11,AU-9",A.8.15,T1070: borrado de rastro en el registro
lin_download_pipe_shell,linux,Descarga tuberia a shell (curl|bash),high,"T1059,T1105","CM-7,SC-7,SI-3",A.8.7,T1059: interprete de comandos | T1105: transferencia de herramientas al interior
lin_ld_preload,linux,Modificacion de ld.so.preload (rootkit),critical,T1574,"CM-5,SI-7",A.8.9,T1574: secuestro del flujo de ejecucion
lin_read_shadow,linux,Lectura de /etc/shadow,high,T1003,"AC-6,IA-5","A.5.17,A.8.5",T1003: volcado de credenciales: proteccion del autenticador
lin_reverse_shell,linux,Shell inversa (bash /dev/tcp),high,T1059,"CM-7,SI-3",A.8.7,T1059: interprete de comandos
lin_ssh_authorized_keys,linux,Adicion de clave SSH (authorized_keys),high,T1098,"AC-2,AC-6","A.5.16,A.5.18",T1098: manipulacion de cuenta
lin_useradd,linux,Creacion o modificacion de cuenta,medium,T1136,AC-2,A.5.16,T1136: alta de cuenta
mac_borrado_de_registros,macos,Borrado de registros del sistema en macOS,high,T1070,"AU-11,AU-9",A.8.15,T1070: borrado de rastro en el registro
