zta_id,pilar,funcion_cisa,tenet_nist_800_207,etapa_madurez,titulo,severidad,mitre_id,mitre_tactica,fuente_log,wazuh_rule_id,splunk_search,estado,notas
ZTA-ID-001,Identidad,Authentication,T4 - Acceso segun politica dinamica,Initial,Fuerza bruta seguida de autenticacion exitosa,alta,T1110.001,Credential Access,auth.log / WinEventLog:Security,100101,ZTA-ID-001 - Fuerza bruta con exito,listo,Correlacion frecuencia + exito en ventana de 300s
ZTA-ID-002,Identidad,Authentication,T4 - Acceso segun politica dinamica,Advanced,Autenticacion de cuenta privilegiada sin MFA,alta,T1078.002,Defense Evasion,WinEventLog:Security / IdP,100102,ZTA-ID-002 - Cuenta privilegiada sin MFA,requiere-lookup,Necesita zta_privileged_accounts.csv relleno
ZTA-ID-003,Identidad,Risk Assessments,T7 - Recoger informacion para mejorar la postura,Advanced,Viaje imposible entre dos autenticaciones,alta,T1078.004,Initial Access,IdP / VPN / auth.log,100103,ZTA-ID-003 - Viaje imposible,requiere-fuente,Requiere geolocalizacion de srcip
ZTA-ID-004,Identidad,Authentication,T4 - Acceso segun politica dinamica,Advanced,MFA fatigue - rechazos seguidos de aceptacion,alta,T1621,Credential Access,IdP,100105,ZTA-ID-004 - MFA fatigue,requiere-fuente,Requiere logs de MFA del IdP
ZTA-ID-005,Identidad,Access Management,T6 - Autenticacion y autorizacion dinamicas,Initial,Alta de cuenta en grupo privilegiado,alta,T1098,Persistence,WinEventLog:Security / auth.log,100106|100107,ZTA-ID-005 - Alta en grupo privilegiado,listo,EventID 4728/4732/4756 y usermod -aG
ZTA-ID-006,Identidad,Identity Stores,T2 - Toda comunicacion asegurada,Advanced,Cuenta de servicio con inicio de sesion interactivo,media,T1078.003,Persistence,WinEventLog:Security,100108,ZTA-ID-006 - Cuenta de servicio interactiva,requiere-lookup,Necesita zta_service_accounts.csv
ZTA-ID-007,Identidad,Identity Stores,T6 - Autenticacion y autorizacion dinamicas,Initial,Cuenta creada y utilizada en menos de 10 minutos,alta,T1136.001,Persistence,WinEventLog:Security / auth.log,100110|100111,ZTA-ID-007 - Cuenta nueva usada de inmediato,listo,Correlacion 4720 + 4624 o useradd + session opened
ZTA-ID-008,Identidad,Authentication,T4 - Acceso segun politica dinamica,Advanced,Uso de protocolo de autenticacion heredado,media,T1078,Defense Evasion,IdP / proxy,100112,ZTA-ID-008 - Autenticacion heredada,requiere-fuente,Basic auth / NTLMv1 / IMAP-POP
ZTA-ID-009,Identidad,Risk Assessments,T5 - Monitorizacion continua de la integridad,Optimal,Acceso concedido sin reevaluacion tras cambio de postura,media,T1078,Defense Evasion,IdP + inventario,100113,ZTA-ID-009 - Acceso sin reevaluar la postura,requiere-lookup,Correlaciona con ZTA-DEV-003
ZTA-DEV-001,Dispositivos,Device Threat Protection,T5 - Monitorizacion continua de la integridad,Initial,Agente de seguridad desconectado o detenido,alta,T1562.001,Defense Evasion,wazuh:alerts,100200|100201,ZTA-DEV-001 - Agente de seguridad caido,listo,Rule 504 de Wazuh y systemd
