cmp_id,categoria,titulo,severidad,marcos,obligacion_id,plazo,fuente_log,implementacion,wazuh_rule_id,splunk_search,estado,notas
CMP-NOT-001,Notificacion,Incidente clasificado como notificable,alta,NIS2|DORA|RGPD|ENS,OBL-NOT-01,-,wazuh:alerts,solo-splunk,n/a,CMP-NOT-001 - Incidente notificable clasificado,listo,Abre el reloj de notificacion; se hace en Splunk para no duplicar el volumen de alertas de Wazuh
CMP-NOT-002,Notificacion,Alerta temprana NIS2 pendiente,alta,NIS2,OBL-NOT-01,24 h,registro de incidentes,solo-splunk,n/a,CMP-NOT-002 - Alerta temprana NIS2 pendiente,requiere-lookup,Avisa a las 18 h e incumple a las 24 h
CMP-NOT-003,Notificacion,Notificacion de 72 horas pendiente,alta,NIS2|RGPD,OBL-NOT-02,72 h,registro de incidentes,solo-splunk,n/a,CMP-NOT-003 - Notificacion de 72 horas pendiente,requiere-lookup,Cubre a la vez NIS2 art. 23.4.b y RGPD art. 33
CMP-NOT-004,Notificacion,Notificacion inicial DORA pendiente,alta,DORA,OBL-NOT-03,4 h desde clasificacion / 24 h desde conocimiento,registro de incidentes,solo-splunk,n/a,CMP-NOT-004 - Notificacion inicial DORA pendiente,requiere-lookup,El plazo mas corto de los seis marcos
CMP-NOT-005,Notificacion,Informe intermedio DORA pendiente,media,DORA,OBL-NOT-04,72 h desde notificacion inicial,registro de incidentes,solo-splunk,n/a,CMP-NOT-005 - Informe intermedio DORA pendiente,requiere-lookup,Obligatorio aunque no haya cambios
CMP-NOT-006,Notificacion,Informe final pendiente,media,NIS2|DORA,OBL-NOT-05,1 mes,registro de incidentes,solo-splunk,n/a,CMP-NOT-006 - Informe final pendiente,requiere-lookup,"NIS2 desde el incidente, DORA desde el informe intermedio"
CMP-NOT-007,Notificacion,Incidente con datos personales sin evaluar riesgo para los interesados,alta,RGPD,OBL-NOT-06,sin dilacion indebida,wazuh:alerts + registro,wazuh+splunk,100700|100701,CMP-NOT-007 - Incidente con datos personales sin evaluar,requiere-lookup,Correlaciona alerta sobre ruta clasificada con el registro
CMP-CON-001,Continuidad,Copia de seguridad fallida o fuera del RPO,alta,ISO 22301|ENS|DORA|NIS2,OBL-CON-01,segun RPO,logs de backup,wazuh+splunk,100720,CMP-CON-001 - Backup fallido o fuera de RPO,requiere-lookup,Define RPO por servicio en cmp_servicios_criticos.csv
CMP-CON-002,Continuidad,Prueba de restauracion no realizada en plazo,media,ISO 22301|ENS|DORA,OBL-CON-02,anual,registro de pruebas,solo-splunk,n/a,CMP-CON-002 - Prueba de restauracion vencida,requiere-lookup,Un backup sin prueba de restauracion no es un backup
CMP-CON-003,Continuidad,Servicio critico caido por encima de su RTO,alta,ISO 22301|ENS|DORA|NIS2,OBL-CON-03,segun RTO,monitorizacion,solo-splunk,n/a,CMP-CON-003 - RTO superado en servicio critico,requiere-lookup,Se mide sobre la ausencia de latido del servicio
CMP-CON-004,Continuidad,Copia de seguridad accesible desde el entorno productivo,alta,ISO 22301|ENS|DORA,OBL-CON-04,permanente,wazuh:alerts (syscheck+audit),wazuh+splunk,100721|100722,CMP-CON-004 - Backup expuesto o modificado,listo,Un ransomware que llega al backup elimina la recuperacion
CMP-LOG-001,Trazabilidad,Retencion de registros por debajo del minimo exigido,alta,ENS|NIS2|ISO 27001|DORA,OBL-LOG-01,segun categoria,indices de Splunk,solo-splunk,n/a,CMP-LOG-001 - Retencion insuficiente,listo,Se calcula sobre el dato mas antiguo de cada indice
CMP-LOG-002,Trazabilidad,Manipulacion del registro de actividad,alta,ENS|NIS2|ISO 27001|DORA,OBL-LOG-02,permanente,wazuh:alerts,wazuh+splunk,100740|100741,CMP-LOG-002 - Manipulacion del registro,listo,Amplia ZTA-VIS-002 con el angulo de evidencia
CMP-LOG-003,Trazabilidad,Reloj desincronizado en una fuente de log,media,ENS|ISO 27001|DORA,OBL-LOG-03,permanente,todos,solo-splunk,n/a,CMP-LOG-003 - Desviacion horaria en fuente,listo,Compara _time con _indextime
CMP-RGP-001,Datos personales,Acceso o exportacion masiva de datos personales,alta,RGPD|LOPDGDD|ENS,OBL-RGP-01,permanente,audit / bbdd,wazuh+splunk,100761|100762,CMP-RGP-001 - Exportacion masiva de datos personales,requiere-lookup,Necesita cmp_datos_personales.csv con las rutas y tablas
CMP-RGP-002,Datos personales,Transferencia de datos personales fuera del EEE,alta,RGPD|LOPDGDD,OBL-RGP-02,previa,suricata:eve / proxy,wazuh+splunk,100763,CMP-RGP-002 - Transferencia fuera del EEE,requiere-lookup,Geolocaliza el destino y lo cruza con los paises con decision de adecuacion
CMP-RGP-003,Datos personales,Datos personales en sistema sin cifrado en reposo,alta,RGPD|ENS|DORA,OBL-RGP-03,permanente,wazuh:alerts (sca),wazuh+splunk,100764,CMP-RGP-003 - Datos personales sin cifrar,listo,Se apoya en el check 1004 de la politica SCA
CMP-TER-001,Terceros,Acceso de proveedor fuera de ventana autorizada,media,DORA|NIS2|ENS|ISO 27001,OBL-TER-01,permanente,auth / vpn,wazuh+splunk,100780|100781,CMP-TER-001 - Acceso de proveedor fuera de ventana,requiere-lookup,Define ventanas en cmp_proveedores.csv
CMP-TER-002,Terceros,Proveedor TIC sin registro ni acuerdo vigente,media,DORA|NIS2,OBL-TER-02,permanente,auth / inventario,solo-splunk,n/a,CMP-TER-002 - Proveedor sin acuerdo vigente,requiere-lookup,DORA exige registro de acuerdos con proveedores TIC
CMP-VUL-001,Vulnerabilidades,Vulnerabilidad fuera del SLA de remediacion,alta,ENS|NIS2|DORA|ISO 27001,OBL-VUL-01,segun criticidad,wazuh:alerts (vulnerability),solo-splunk,n/a,CMP-VUL-001 - Vulnerabilidad fuera de SLA,listo,SLA por criticidad configurable por macro
